_id,GID,COD_CIRCUITO,MUNICIPIO,VERTICES
11,10,C_DU_RM_CL_03       ,C ,"POLYGON ((572038.130474714 6141935.7895644, 572045.218570721 6141941.7649884, 572049.146442724 6141945.07612441, 572050.934346726 6141946.58326041, 572120.859434791 6141934.6954524, 572160.574954828 6141927.94345239, 572164.886410832 6141927.21049239, 572371.948875025 6141892.00822036, 572481.345995127 6141873.40982034, 572668.005131301 6141841.67628431, 572677.86221931 6141840.00047631, 572682.269451314 6141838.53052431, 572775.226795401 6141807.52674828, 572873.616779492 6141759.15196423, 572884.907147503 6141753.60095623, 572980.751851592 6141706.47753218, 573037.378507645 6141684.78716416, 573235.86234783 6141608.75935609, 573244.017419837 6141604.54767609, 573245.469963838 6141603.79746809, 573249.849899843 6141601.53545209, 573288.849771879 6141581.39410807, 573294.908939885 6141577.38518006, 573295.848875885 6141576.76338806, 573298.475339888 6141575.02566006, 573314.896683903 6141564.16121205, 573426.053772007 6141490.61845998, 573441.305964021 6141480.52757997, 573463.044620041 6141466.14492396, 573469.718508047 6141461.72943596, 573470.778252048 6141465.59362796, 573475.453548053 6141482.64085997, 573475.803340053 6141483.91628398, 573480.273740057 6141483.78703598, 573558.95153213 6141481.51250797, 573641.585164207 6141479.12341997, 573819.015052373 6141473.99397997, 573820.304780374 6141473.95666797, 573830.481356383 6141435.50485993, 573861.189260412 6141454.33813995, 573862.493388413 6141455.13797995, 573863.414732414 6141454.83605995, 573882.219276431 6141448.67484394, 573888.787148438 6141446.52297194, 573973.690156517 6141418.70517992, 574071.646732608 6141386.61036389, 574169.268492699 6141354.62527586, 574169.308236699 6141354.75106786, 574169.802668699 6141356.31545186, 574211.264140738 6141487.51007598, 574281.104780803 6141708.50313219, 574281.414604803 6141709.48354819, 574191.83908472 6141754.15078023, 574185.584140714 6141757.26972423, 574185.606092714 6141757.34057223, 574224.44532475 6141882.96022035, 574257.412620781 6141989.58812445, 574274.194700797 6142043.8675485, 574294.558860816 6142109.73257256, 574295.005836816 6142111.17833256, 574101.287244636 6142239.72182068, 574068.092940605 6142261.7482527, 574038.369452577 6142281.47145272, 573947.075852492 6142320.85746876, 573946.392332491 6142321.15238076, 573943.748428489 6142322.29305276, 573827.40474838 6142372.5497248, 573820.289548374 6142375.62326081, 573739.156876298 6142398.58774083, 573671.578444235 6142417.71570885, 573614.834444182 6142433.77695686, 573587.873493413 6142441.85951779, 573565.706996324 6142448.50476056, 573497.662003203 6142466.85397219, 573460.1046927075 6142495.822602793, 573386.9346852837 6142895.881994032, 573368.493675953 6143057.67324544, 573313.690955902 6143055.10470144, 573209.145323805 6143049.42703743, 573152.292939752 6142936.82594933, 573134.789835735 6142887.65721328, 573102.727723706 6142797.5897252, 573087.588875691 6142789.96460519, 573021.93338763 6142756.89490916, 572957.27617157 6142724.32783713, 572905.350667522 6142657.06969307, 572905.270219522 6142656.20674907, 573021.4246910614 6142558.605846399, 572888.330891506 6142554.97919697, 572876.197579495 6142536.14946896, 572869.328747488 6142525.48966095, 572795.373067419 6142448.86447687, 572701.947723332 6142439.44415687, 572701.904459332 6142431.27129286, 572701.632555332 6142379.86703681, 572701.585963332 6142371.0561568, 572701.539435332 6142362.26297279, 572691.181611322 6142358.24390079, 572686.703243318 6142356.50607679, 572679.925067312 6142353.87593279, 572414.325323064 6142250.81545269, 572389.223371041 6142247.87337269, 572255.125322916 6142232.15641267, 572254.803338916 6142231.79452467, 572245.807434908 6142221.68246066, 572138.472330807 6142101.03090855, 572137.375306807 6142099.79753255, 572065.85223474 6142019.40095648, 572065.50701874 6142018.35977247, 572057.787818732 6141995.07817245, 572053.310826728 6141981.57506844, 572042.210474718 6141948.09516441, 572039.638378715 6141940.3375964, 572038.130474714 6141935.7895644))"
12,11,C_DU_RM_CL_04       ,C ,"POLYGON ((573596.9421091886 6142999.46031623, 573723.3266674663 6142806.557569385, 573763.6913349828 6142758.411744253, 573751.8344625665 6142724.835223431, 573732.829265833 6142618.406121723, 573747.0831633832 6142526.230917566, 573671.578444235 6142417.71570885, 573739.995724299 6142401.34786883, 573820.289548374 6142375.62326081, 573827.40564438 6142372.5510688, 573946.404716491 6142321.17561276, 573947.802668493 6142320.57196476, 574038.369452577 6142281.47145272, 574068.092940605 6142261.7482527, 574101.287244636 6142239.72182068, 574295.005836816 6142111.17833256, 574375.074828891 6142062.43106852, 574375.114380891 6142062.50041252, 574378.203340893 6142067.92425252, 574476.435148985 6142240.40982068, 574502.385037009 6142318.68047675, 574540.428557044 6142433.42886086, 574542.612621047 6142440.01638087, 574562.419277065 6142489.45356491, 574583.179213084 6142541.26985296, 574627.204365125 6142651.15593306, 574649.236557146 6142706.14793311, 574695.836557189 6142773.20758118, 574797.960141284 6142920.16822131, 574802.658347204 6142928.83171047, 574802.658347204 6142929.13222248, 574706.795017802 6143023.79350386, 574633.770600734 6143097.41894494, 574547.523655472 6143187.27203426, 574464.582342259 6143267.80925143, 574349.185732571 6143387.11251718, 574267.145955371 6143467.34922235, 574212.152258566 6143534.66391134, 574186.007714184 6143565.01562378, 574153.9559699587 6143607.625814221, 573953.8862314675 6143844.473078169, 573899.729548448 6143768.2767981, 573882.469836432 6143744.52246208, 573861.494732412 6143715.65491006, 573859.729900411 6143713.22579005, 573852.802060404 6143703.69116604, 573848.2726524 6143697.45737404, 573841.592652394 6143688.26358203, 573763.973676321 6143581.43753393, 573748.350220307 6143559.93506991, 573722.595404283 6143524.48918188, 573719.52993228 6143517.63804587, 573679.607564243 6143428.41145379, 573676.16782024 6143420.72367778, 573656.147852221 6143303.12268567, 573654.319500219 6143292.38204566, 573649.088748214 6143282.10860565, 573549.0358716351 6143145.808326975, 573501.9161255213 6143117.2925359765, 573531.3741804581 6143086.884221204, 573596.9421091886 6142999.46031623))"
13,12,C_DU_RM_CL_07       ,C ,"POLYGON ((573672.014028236 6140891.70297142, 573680.710284244 6140802.18885934, 573691.682892254 6140689.24367524, 573692.811340255 6140677.62809123, 573703.082668265 6140571.90204313, 573721.928876282 6140377.90972295, 573722.056684282 6140376.59477894, 573790.169100346 6140382.42956295, 573829.434764382 6140385.79324295, 573933.93402848 6140394.74517896, 574058.437452596 6140405.41065097, 574177.562668707 6140415.61545098, 574207.130476734 6140416.93868298, 574235.448140761 6140418.20597898, 574235.542924761 6140418.21013898, 574236.023628761 6140416.94773898, 574253.822604778 6140370.19887494, 574254.148492778 6140369.34287494, 574254.149132778 6140369.34287494, 574256.32782078 6140369.27855494, 574359.608172876 6140366.23055494, 574376.619852892 6140365.72853894, 574411.364428924 6140364.70313093, 574419.858860932 6140364.45244293, 574452.445644963 6140436.401083, 574461.978732971 6140457.44927502, 574553.891981057 6140592.71324315, 574554.161357057 6140593.10969115, 574609.484429109 6140674.52572322, 574711.721229204 6140619.06076317, 574803.408749289 6140569.31887512, 574874.421325356 6140530.79337109, 574948.675405425 6140490.50946705, 575037.452525507 6140442.34652301, 575038.425645508 6140443.72975501, 575069.937805538 6140488.52437905, 575078.667533546 6140500.93372306, 575137.467853601 6140586.49989914, 575233.68442969 6140722.65065127, 575374.525389821 6140921.49506745, 575444.551629887 6141021.03727555, 575440.377037883 6141024.06287555, 575430.474765873 6141031.23935555, 575429.004397872 6141032.30505156, 575371.807885819 6141027.72796355, 575269.998861724 6141019.58066754, 575169.08817363 6141011.50540354, 575062.862221531 6141003.00463553, 575039.098957509 6141001.10309953, 574944.567469421 6140993.53826752, 574740.844429231 6140977.2354515, 574736.461901227 6140976.8847635, 574595.970509096 6140965.64207549, 574496.695277004 6140957.69762749, 574394.525708909 6140949.52156348, 574265.743692789 6140939.21586747, 574205.061900732 6140934.35986746, 574025.549516565 6140919.99449145, 574009.22465255 6140918.68805945, 573794.86414035 6140901.53397943, 573679.956780243 6140892.33855543, 573672.014028236 6140891.70297142))"
14,13,C_DU_RM_CL_08       ,C ,"POLYGON ((572361.074379015 6140339.62082691, 572357.305643011 6140335.43129091, 572461.699275109 6140252.29737083, 572624.32993126 6140122.78652271, 572705.088267335 6140058.47477865, 572809.029963432 6139975.70076257, 572970.675627583 6139846.97442645, 573004.484715614 6139820.05052243, 573059.293323665 6139756.38847437, 573126.809067728 6139677.96645829, 573292.818251883 6139692.49695431, 573431.621516012 6139475.61173811, 573463.384076041 6139398.60757803, 573475.528172053 6139399.44876204, 573570.9716471323 6139406.423670025, 573567.8076416628 6139460.844564101, 573563.0616334585 6139509.886648878, 573671.073036235 6139521.11657015, 573672.334348236 6139521.80805815, 573764.394700322 6139572.2847622, 573892.452236441 6139642.49855426, 573892.750828441 6139641.89897026, 573941.859980487 6139543.27452217, 573944.60020449 6139544.79506617, 574100.240972635 6139631.15842625, 574177.523244707 6139674.04156229, 574267.51716479 6139723.97826634, 574268.139212791 6139722.56828234, 574322.651916842 6139598.98405822, 574324.491340843 6139594.81372222, 574330.339564849 6139624.87077824, 574349.394380867 6139722.80268234, 574349.793356867 6139725.52745034, 574350.895052868 6139733.05103435, 574356.692940873 6139772.64876238, 574361.1438958177 6140239.774432827, 574416.087468929 6140356.07753093, 574418.699212931 6140361.87727493, 574419.858860932 6140364.45244293, 574411.364428924 6140364.70313093, 574376.619852892 6140365.72853894, 574359.608172876 6140366.23055494, 574256.32782078 6140369.27855494, 574254.149132778 6140369.34287494, 574254.148492778 6140369.34287494, 574253.822604778 6140370.19887494, 574236.023628761 6140416.94773898, 574235.542924761 6140418.21013898, 574235.448140761 6140418.20597898, 574207.130476734 6140416.93868298, 574177.562668707 6140415.61545098, 574058.437452596 6140405.41065097, 573933.93402848 6140394.74517896, 573829.434764382 6140385.79324295, 573790.169100346 6140382.42956295, 573722.056684282 6140376.59477894, 573721.926028282 6140377.90956295, 573702.845772265 6140571.90149913, 573568.8080191294 6140568.924207432, 573164.370635763 6140481.79535504, 573166.194379765 6140473.28956303, 573167.994443766 6140464.89369103, 573122.093771724 6140410.56693898, 573076.382731681 6140463.75986703, 573074.567115679 6140464.82556303, 573037.458251645 6140487.26741905, 573023.722891632 6140495.56268306, 572936.576715551 6140548.1926671, 572849.074283469 6140601.03788315, 572760.367051387 6140654.6106512, 572671.872203304 6140708.05516325, 572630.957835266 6140648.0542672, 572607.248875244 6140613.28514716, 572606.943435244 6140612.94565917, 572571.986443211 6140574.08514713, 572549.54493919 6140549.13746711, 572472.291531118 6140463.25737103, 572361.074379015 6140339.62082691))"
15,14,C_DU_RM_CL_01       ,C ,"POLYGON ((571374.039946096 6141223.95842773, 571397.579530118 6141201.43023571, 571467.611978183 6141134.40725965, 571535.679242246 6141069.26485959, 571536.509450247 6141068.47036359, 571592.897098299 6141014.50565954, 571590.562666297 6141012.06716354, 571549.337162259 6140969.0021715, 571504.142666217 6140921.79106745, 571526.500234238 6140895.78287543, 571595.4466017383 6140819.377746861, 571488.3070290718 6140758.1551339105, 571772.179754466 6140674.46863522, 571873.929770561 6140645.4054992, 572036.086730712 6140614.03266717, 572108.401354779 6140600.04181915, 572288.964042948 6140625.90335518, 572340.622026996 6140642.90786719, 572363.553355017 6140650.4562512, 572384.526411037 6140657.36002721, 572471.355467118 6140685.94204323, 572503.793003148 6140696.61967524, 572532.737227175 6140706.14738725, 572539.422603181 6140709.41077925, 572619.512651256 6140748.50633129, 572631.831531267 6140738.98927528, 572669.385419302 6140709.97637926, 572671.872203304 6140708.05516325, 572760.367051387 6140654.6106512, 572849.074283469 6140601.03788315, 572936.576715551 6140548.1926671, 573023.722891632 6140495.56268306, 573037.458251645 6140487.26741905, 573074.582923679 6140464.84687503, 573076.382731681 6140463.75986703, 573122.093771724 6140410.56693898, 573167.994443766 6140464.89369103, 573166.194379765 6140473.28956303, 573164.370635763 6140481.79535504, 573159.163339758 6140485.37196305, 573113.296843715 6140516.87506708, 572920.294731536 6140823.99977136, 572915.458731531 6140831.17369137, 572854.946443475 6140920.93813945, 572852.913035473 6140923.95436346, 572842.992651464 6140938.67042747, 572807.707531431 6140980.17833151, 572784.396875409 6141007.60015553, 572528.347851171 6141308.80585181, 572443.231147091 6141408.93372391, 572297.606154956 6141580.24095607, 572260.675018921 6141636.83116412, 572208.620138873 6141716.59570819, 572156.580234824 6141796.33708427, 572109.924298781 6141867.82860433, 572086.595082759 6141889.91225235, 572038.130474714 6141935.7895644, 572006.1714522542 6141960.724762029, 571875.3286943177 6141845.505019966, 571714.2163431273 6141713.685823537, 571756.814250452 6141681.97737216, 571674.364714375 6141607.58876409, 571668.57197837 6141600.71375609, 571660.809546363 6141591.50095608, 571658.950218361 6141589.29426807, 571652.805066355 6141582.00108407, 571621.911370326 6141545.33561203, 571618.174026323 6141540.89990003, 571586.905738294 6141471.48143596, 571576.124362284 6141454.13935595, 571525.959242237 6141373.44783587, 571520.459274232 6141365.53333987, 571473.608394188 6141298.1149718, 571461.324426177 6141289.30153179, 571372.416682094 6141225.51202774, 571374.039946096 6141223.95842773))"
16,50,G_DU_RM_CL_07       ,G ,"POLYGON ((569703.0868276734 6149096.721970301, 569666.947533507 6149087.532788927, 569640.0207313922 6148946.163417915, 569686.7145092925 6148699.989474725, 569728.7804148773 6148478.214105128, 569790.0077863339 6148461.796863366, 569867.0238064263 6148441.732412629, 570104.716807288 6148384.272380188, 570229.44928903 6148352.36406637, 570335.159433128 6148327.36144235, 570413.315250615 6148308.94965316, 570411.755613789 6148302.39917849, 570382.9807545842 6148150.229590228, 570342.819666077 6148020.41684034, 570318.801258955 6147918.72851928, 570410.9692944258 6147898.753069164, 570492.28922556 6147877.5391740855, 570547.6810627094 6147863.98585223, 570643.7328654259 6147838.647033108, 570682.6250064032 6147826.8615358425, 570710.3209249779 6147819.790237484, 570740.2784531736 6147808.136049026, 570759.2055851868 6147796.253342066, 570719.4698337378 6147742.212720095, 570771.9210256505 6147696.119248414, 570867.2868291282 6147627.773755922, 570919.6930691046 6147684.931842561, 570936.8276061786 6147717.549530977, 571272.0279067538 6147476.008137916, 571270.7284140764 6147492.8749210285, 571269.639616021 6147507.00699039, 571215.650687579 6147885.58850067, 571209.792638952 6147924.96760532, 571200.085715187 6147990.21970396, 571186.223836791 6148083.40233096, 571180.281436769 6148116.84387199, 571119.934153718 6148273.00574203, 571090.859042571 6148348.24398805, 571039.089582851 6148485.02435004, 571030.915457632 6148506.82201729, 571021.10650737 6148529.7095679, 571016.202032238 6148544.42299329, 571001.8233701157 6148560.919157098, 570892.9645501082 6148583.836803416, 570720.2637153595 6148715.61326974, 570541.8334690317 6148759.811587637, 570618.7712816685 6149030.730906602, 570823.3931237877 6148894.862003435, 570897.8754743191 6148997.991411863, 570934.213641686 6149028.229219, 570930.727433683 6149030.023779, 570259.1144860002 6149387.600375677, 570130.946020181 6149388.35419996, 570124.936626277 6149374.5143837, 570016.767536011 6149437.52196827, 569925.716113228 6149558.43825773, 569894.39442379 6149508.90628373, 569868.171614029 6149460.10272112, 569833.936279062 6149371.23653248, 569801.15776686 6149306.40791945, 569773.478134334 6149289.65445766, 569755.267849778 6149243.03612919, 569733.41550831 6149112.65049176, 569703.0868276734 6149096.721970301))"
17,19,C_DU_RM_CL_14       ,C ,"POLYGON ((575137.467853601 6140586.49989914, 575277.012237731 6140592.13935515, 575335.493005785 6140594.50274715, 575382.701869829 6140596.41052315, 575392.796333838 6140596.81855515, 575506.238797944 6140601.40303515, 575519.780493957 6140601.95036315, 575635.862318065 6140606.64162716, 575698.565646123 6140609.17564316, 575754.961550176 6140611.45477916, 575878.800334291 6140616.45954717, 575978.629966384 6140620.49404317, 576104.916174502 6140625.59765918, 576108.335278505 6140625.73586718, 576116.597582512 6140517.35804308, 576124.41345452 6140414.83612298, 576131.973934527 6140315.66565889, 576255.4638989214 6140339.187569957, 576434.258734808 6140212.70985079, 576505.3822359666 6140161.964110418, 576570.9040704297 6140254.038831912, 576636.9471290804 6140347.164295907, 576696.8134987926 6140432.212551289, 576707.2663569963 6140446.941578758, 576812.7451988701 6140596.607503033, 576822.247797237 6140610.386270666, 576874.9872181739 6140662.650561682, 576922.0250800906 6140703.986864577, 576922.9753399274 6140703.986864577, 576998.0458670267 6140766.704013797, 577032.501519365 6140795.97295534, 577036.226786051 6140799.75721912, 576933.769407879 6140897.89200141, 576920.804824545 6140910.59200141, 576850.818677319 6140975.04790812, 576823.702741212 6141000.02116808, 576814.442324545 6141009.54616808, 576761.525657879 6141060.34616808, 576623.413157879 6141190.78575141, 576543.508991212 6141266.98575141, 576542.979824545 6141266.72116808, 576543.508991212 6141266.98575141, 576535.359118902 6141263.14485977, 576500.56852687 6141247.54041176, 576458.371214831 6141228.61369174, 576337.678798718 6141174.47977169, 576319.234446701 6141166.20693968, 576167.17134256 6141098.00233162, 576136.977038531 6141084.4593556, 576117.593038513 6141075.7651476, 576103.814478501 6141074.9864596, 576065.322766465 6141072.81100359, 576047.457230448 6141071.80124359, 576016.001934419 6141070.02345159, 575958.056846365 6141066.74860359, 575858.452622272 6141061.11913158, 575736.275342158 6141054.21397958, 575507.820141946 6141041.30223556, 575493.927245933 6141040.51705156, 575478.953005919 6141034.60927556, 575478.132941918 6141034.28572356, 575444.551629887 6141021.03727555, 575374.503949821 6140921.91657145, 575233.68442969 6140722.65065127, 575137.467853601 6140586.49989914))"
18,20,D_DU_RM_CL_02       ,D ,"POLYGON ((575573.708840533 6142737.4480662, 575665.905166093 6142711.17954912, 575762.043086182 6142684.35593309, 575857.720590271 6142657.66076507, 575953.477358361 6142630.94348504, 576048.420462449 6142604.45318102, 576145.77915054 6142577.28889299, 576240.028814627 6142550.99202897, 576336.654990717 6142524.03215695, 576394.847886772 6142507.79570893, 576418.042382793 6142501.32406092, 576431.377166806 6142520.70188494, 576479.04782285 6142589.97561301, 576538.309966905 6142676.09372509, 576574.267726939 6142728.34665314, 576646.344623006 6142833.08694123, 576696.796463053 6142906.4023333, 576699.214255055 6142909.8985573, 576741.482223094 6142971.02313336, 576792.546799142 6143044.86876543, 576901.610831244 6143202.58838158, 577054.200207386 6143423.25087778, 577201.250601805 6143648.421722673, 577057.505775389 6143742.25884608, 576993.139279329 6143785.32179012, 576889.3111282125 6143850.878261243, 576894.5246013087 6143890.848221648, 576859.7681140004 6143914.308850581, 576807.748495156 6144025.31718234, 576774.201967125 6144033.27935835, 576685.056783042 6144054.43801437, 576472.336398844 6144104.92694242, 576422.207822797 6144116.82492643, 576415.388430791 6144118.44355043, 576437.763694812 6144225.97737453, 576477.222670848 6144415.61417471, 576495.018126865 6144501.13759879, 576519.499049311 6144590.76373849, 576069.984014469 6144523.00767881, 576040.865064866 6144515.83740242, 575986.621646391 6144273.05212657, 575954.731982362 6144150.08342246, 575953.421294361 6144145.02927845, 575951.739278359 6144129.61868644, 575948.259150356 6144097.73356641, 575939.158510347 6144014.35523033, 575880.930254293 6143480.87375784, 575880.593358293 6143479.69721384, 575853.078862267 6143383.60658975, 575826.054030242 6143289.22556566, 575798.241614216 6143192.09442957, 575770.67876619 6143095.83452548, 575768.167502188 6143087.06457347, 575763.232302183 6143078.28796546, 575722.315150145 6143005.52156539, 575680.330958106 6142930.85762932, 575671.327566098 6142914.84620531, 575622.023630052 6142827.16486123, 575575.115188701 6142740.82330181, 575573.708840533 6142737.4480662))"
19,21,D_DU_RM_CL_01       ,D ,"POLYGON ((574186.007714184 6143565.01562378, 574212.152258566 6143534.66391134, 574267.145955371 6143467.34922235, 574349.185732571 6143387.11251718, 574464.582342259 6143267.80925143, 574547.523655472 6143187.27203426, 574633.770600734 6143097.41894494, 574706.795017802 6143023.79350386, 574802.658347204 6142928.83171047, 574930.375949072 6142800.8135966, 575015.420846316 6142719.97586741, 575102.569327591 6142631.32482612, 575160.56814444 6142576.03061731, 575208.950577147 6142527.9486966, 575254.628401816 6142481.97035993, 575286.182162277 6142452.21967149, 575308.893480394 6142430.02035656, 575316.206490871 6142423.12925053, 575347.849324663 6142456.31906731, 575371.475973895 6142480.93016026, 575444.60607866 6142564.74851111, 575515.204756721 6142641.95702556, 575523.642845732 6142650.25447975, 575573.708840533 6142737.4480662, 575575.115188701 6142740.82330181, 575622.023630052 6142827.16486123, 575671.327566098 6142914.84620531, 575680.330958106 6142930.85762932, 575722.315150145 6143005.52156539, 575763.232302183 6143078.28796546, 575768.167502188 6143087.06457347, 575770.67876619 6143095.83452548, 575798.241614216 6143192.09442957, 575826.054030242 6143289.22556566, 575853.078862267 6143383.60658975, 575880.593358293 6143479.69721384, 575880.930254293 6143480.87375784, 575938.900686347 6144014.32121433, 575948.259150356 6144097.73356641, 575951.739278359 6144129.61868644, 575953.421294361 6144145.02927845, 575986.621646391 6144273.05212657, 575909.029178257 6144282.1640565, 575856.19873619 6144297.72145466, 575800.33703925 6144308.95735334, 575755.73428898 6144321.92185181, 575694.229902119 6144200.29615851, 575640.569070069 6144095.29967841, 575584.207118017 6143985.01807831, 575548.571341983 6143915.29087824, 575529.663373966 6143879.19644621, 575479.010893919 6143782.50310212, 575364.732045812 6143564.34998191, 575343.876333793 6143524.53708588, 575343.762061793 6143524.43078188, 575342.166093791 6143522.94492588, 575257.327885712 6143443.9632618, 575177.989197638 6143370.10150173, 575089.533357556 6143287.75183766, 575088.491181555 6143286.78150166, 574953.312333429 6143414.90418977, 574782.53812527 6143576.76460593, 574587.3533307441 6143770.596889416, 574739.3949046119 6143936.8923608335, 574463.8195519764 6144138.347446208, 574427.7096781828 6143925.489242793, 574439.1127962229 6143916.936904264, 574428.821413736 6143809.03137135, 574309.518147991 6143673.19994537, 574281.871043586 6143634.4338968, 574245.509091054 6143595.36733623, 574186.007714184 6143565.01562378))"
20,22,C_DU_RM_CL_12       ,C ,"POLYGON ((575181.933357642 6140586.32057114, 575184.066669644 6140481.28975504, 575186.179277646 6140377.26447495, 575284.9602931585 6140380.907695664, 575291.0625811666 6140240.233898424, 575284.769549738 6140226.19129081, 575360.696141808 6140183.11375477, 575344.632877794 6140148.91746673, 575321.363563312 6140093.879990161, 575294.9725924669 6140038.631602597, 575306.680269758 6139905.72255451, 575315.954381767 6139826.07909843, 575331.4749596311 6139695.843539843, 575337.618733787 6139640.03090626, 575345.799629795 6139569.77426619, 575373.0028298879 6139497.05408613, 575376.2049159444 6139358.723968491, 575430.317581873 6139377.41708201, 575476.642541916 6139397.99477803, 575479.000333919 6139398.82751403, 575490.8456450914 6139417.337191612, 575616.6881019055 6139461.605881954, 575666.9256044282 6139468.569496164, 575724.011918147 6139471.0246981, 575726.074446149 6139471.1574661, 575728.643694151 6139471.3228421, 575733.608430156 6139471.6424581, 575845.90740626 6139478.87106611, 575972.744718379 6139487.03548212, 576070.392206469 6139493.32095412, 576079.707150478 6139493.92057012, 576088.244046486 6139494.47007412, 576180.758766572 6139558.88268218, 576194.456462585 6139580.0428422, 576163.713230556 6139896.5476745, 576144.338446538 6140151.66447474, 576131.907374527 6140315.35036289, 576124.35217452 6140414.83343498, 576116.566030512 6140517.35666708, 576108.335278505 6140625.73586718, 576104.916174502 6140625.59727518, 575978.630670384 6140620.47893917, 575878.801294291 6140616.43289117, 575754.963086176 6140611.41369116, 575697.070670122 6140609.06725916, 575635.864718065 6140606.58652316, 575519.782733957 6140601.88178715, 575506.305773944 6140601.33561115, 575392.728749838 6140596.73225115, 575382.704077829 6140596.32597915, 575335.562637785 6140594.41525915, 575277.014957731 6140592.04229915, 575181.895437642 6140588.18703514, 575181.933357642 6140586.32057114))"
21,23,C_DU_RM_CL_13       ,C ,"POLYGON ((576132.000142527 6140315.35705089, 576145.89367854 6140151.78421874, 576179.273358571 6139758.79733837, 576194.456462585 6139580.0428422, 576194.456462585 6139580.0428422, 576216.761358606 6139274.96943392, 576225.8849163203 6139174.688936822, 576233.9722884052 6139060.3103887625, 576245.580942633 6138972.33532164, 576251.186446638 6138912.14997758, 576256.934030643 6138924.56511359, 576280.906126665 6138976.34556164, 576321.951950704 6139065.00552972, 576408.528174784 6139252.0134659, 576410.240334786 6139255.7117699, 576418.905326794 6139269.17308191, 576471.371214843 6139350.68136999, 576474.890158846 6139356.14812199, 576475.095694846 6139356.46767399, 576476.494030848 6139357.796666, 576569.241966934 6139445.94847408, 576569.358542934 6139446.05922608, 576645.012751005 6139522.02607415, 576663.329583022 6139540.41845817, 576718.949967073 6139596.26860222, 576802.652527151 6139680.3168263, 576806.390959155 6139684.0709063, 576919.806735261 6139793.3596104, 576933.288143273 6139804.17385041, 576971.468079309 6139834.80057044, 576995.708495331 6139854.24553046, 577066.175791397 6139910.77209051, 577069.8728794 6139913.73762651, 577164.947503489 6139989.27426658, 577197.891727519 6140015.44834661, 577201.147791523 6140018.03522661, 577276.817935593 6140077.41762667, 577349.11335966 6140134.15167472, 577445.90199975 6140210.10687479, 577479.045071781 6140236.11605881, 577539.583055838 6140283.62335486, 577553.599823851 6140291.91593087, 577555.208847852 6140292.86786687, 577564.682895861 6140298.47292287, 577562.811183859 6140300.27705087, 577478.941615781 6140381.11586695, 577451.155343755 6140407.89807497, 577342.922543655 6140512.21989907, 577341.691983653 6140513.40585107, 577339.715471652 6140515.31090707, 577116.786447444 6140730.18434727, 577112.54478344 6140734.27276328, 577108.961039437 6140737.72693928, 577043.308116419 6140792.54208759, 577036.226786051 6140799.75721912, 577036.209613049 6140799.76512611, 577032.361839365 6140795.97455534, 577000.4215166185 6140767.654273634, 576922.5002100089 6140703.511734658, 576875.4623480922 6140663.600821519, 576822.247797237 6140609.911140747, 576812.7451988701 6140596.607503033, 576707.7414869146 6140446.466448839, 576696.8134987926 6140431.737421371, 576636.9471290804 6140347.164295907, 576570.9040704297 6140253.088572076, 576505.3822359666 6140161.964110418, 576434.258734808 6140212.70985079, 576344.105326724 6140276.76767485, 576255.4638989214 6140339.187569957, 576131.973934527 6140315.66565889, 576132.000142527 6140315.35705089))"
22,24,D_DU_RM_CL_04       ,D ,"POLYGON ((575311.930321606 6142422.654120611, 575322.337298053 6142413.79412715, 575379.575668513 6142358.384009311, 575437.5172130569 6142303.958335191, 575516.55398013 6142230.265691151, 575528.226669929 6142219.858714711, 575605.294549565 6142147.291149211, 575691.2224226639 6142066.285494701, 575760.414752557 6142001.312209311, 575805.2772591329 6141958.840494621, 575861.671820692 6141906.524342751, 576212.4378071674 6141575.968457222, 576260.2063003656 6141532.669530639, 576266.581943039 6141542.847846351, 576285.511285358 6141567.422782001, 576363.9743094819 6141604.424770171, 576404.6428510223 6141626.325958401, 576465.045765576 6141664.3142102305, 576491.451301601 6141680.7632982405, 576519.013605626 6141700.337250261, 576613.1032697139 6141767.157250321, 576643.594661742 6141788.811330341, 576660.0293177579 6141800.482882351, 576676.393253773 6141812.104066361, 576691.7171257869 6141826.326946381, 576808.861765896 6141935.054306481, 576918.4496699979 6142017.187970551, 576990.4979348007 6142029.470205347, 577008.1312377758 6142023.319053147, 577143.8666630026 6141956.886609385, 577164.911535489 6141974.74700443, 577330.9484969169 6142292.748889564, 577386.5386973631 6142434.812735145, 577409.9618301133 6142544.13578479, 577257.4679847206 6142620.663371006, 577103.1579581699 6142703.166947191, 576944.579014023 6142781.468323271, 576843.136197928 6142831.557635311, 576799.5959098879 6142853.056579331, 576693.950533789 6142905.221027381, 576692.5202937879 6142905.9272033805, 576642.0684537409 6142832.611811311, 576569.991557674 6142727.871523221, 576534.03379764 6142675.618595171, 576474.771653585 6142589.500483091, 576427.100997541 6142520.226755021, 576413.766213528 6142500.848931001, 576390.571717507 6142507.320579011, 576332.3788214519 6142523.557027031, 576235.7526453619 6142550.516899051, 576141.502981275 6142576.813763071, 576044.1442931839 6142603.978051101, 575949.201189096 6142630.468355121, 575853.444421006 6142657.18563515, 575757.7669169169 6142683.880803171, 575661.628996828 6142710.704419201, 575569.432671268 6142736.972936281, 575519.366676467 6142649.779349831, 575510.928587456 6142641.4818956405, 575440.329909395 6142564.273381191, 575367.19980463 6142480.455030341, 575343.573155398 6142455.8439373905, 575311.930321606 6142422.654120611))"
