"TRAYECTO","DESCRIPCION","NOMENCLATURA_CIRCUITO"
2737,"RECOLECCION DOMICILIARIA POR CONTENEDORES METALICOS","D_DU_RM_CL_120"
2738,"RECOLECCION DOMICILIARIA POR CONTENEDORES","D_DU_RM_CL_121"
2739,"RECOLECCION NO DOMICILIARIA","RE_NU_RH_ST_M1"
2740,"RECOLECCION NO DOMICILIARIA","RE_NU_RH_ST_V1"
2741,"RECOLECCIÓN NO DOMICILIARIA","RE_NU_RH_ST_M2"
2742,"RECOLECCIÓN NO DOMICILIARIA","RE_NU_RH_ST_V2"
2743,"RECOLECCION DOMICILIARIA POR CONTENEDORES METALICOS","G_DU_RM_CL_115"
2744,"RECOLECCION DOMICILIARIA POR CONTENEDORES METALICOS","G_DU_RM_CL_116"
2745,"RECOLECCION DOMICILIARIA POR CONTENEDORES METALICOS","G_DU_RM_CL_111"
2746,"RECOLECCION DOMICILIARIA POR CONTENEDORES METALICOS","G_DU_RM_CL_112"
2747,"RECOLECCION DOMICILIARIA POR CONTENDORES METALICOS","G_DU_RM_CL_113"
2748,"RECOLECCION DOMICILIARIA POR CONTENEDORES METALICOS","G_DU_RM_CL_114"
2749,"RECOLECCION DOMICILIARIA POR CONTENEDORES METALICOS","PRUEBA_D_DU_RM_CL_115"
2750,"RECOLECCION DOMICILIARIA POR CONTENEDORES METALICOS","PRUEBA_D_DU_RM_CL_119"
2751,"RECOLECCION DOMICILIARIA POR CONTENEDORES METALICOS","PRUEBA_D_DU_RM_CL_120"
2752,"RECOLECCION DOMICILIARIA POR CONTENEDORES","PRUEBA_D_DU_RM_CL_121"
2753,"RECOLECCION DOMICILIARIA POR CONTENEDORES METALICOS","PRUEBA_D_DU_RM_CL_104"
2754,"RECOLECCION DOMICILIARIA POR CONTENEDORES METALICOS","PRUEBA_D_DU_RM_CL_106"
2755,"RECOLECCION DOMICILIARIA POR CONTENEDORES METALICOS","PRUEBA_D_DU_RM_CL_116"
2756,"RECOLECCION DOMICILIARIA POR CONTENEDORES METALICOS","PRUEBA_D_DU_RM_CL_117"
2757,"RECOLECCION DOMICILIARIA POR CONTENEDORES METALICOS","PRUEBA_D_DU_RM_CL_102"
2758,"RECOLECCION DOMICILIARIA POR CONTENEDORES METALICOS","PRUEBA_D_DU_RM_CL_105"
2759,"RECOLECCION DOMICILIARIA POR CONTENEDORES METALICOS","PRUEBA_D_DU_RM_CL_107"
2760,"RECOLECCION DOMICILIARIA POR CONTENEDORES METALICOS","PRUEBA_D_DU_RM_CL_110"
2761,"RECOLECCION DOMICILIARIA POR CONTENEDORES METALICOS","PRUEBA_D_DU_RM_CL_108"
2762,"RECOLECCION DOMICILIARIA POR CONTENEDORES METALICOS","PRUEBA_D_DU_RM_CL_109"
2763,"RECOLECCION DOMICILIARIA POR CONTENEDORES METALICOS","PRUEBA_D_DU_RM_CL_114"
2764,"RECOLECCION DOMICILIARIA POR CONTENEDORE METALICOS","PRUEBA_D_DU_RM_CL_112"
2765,"RECOLECCION DOMICILIARIA POR CONTENEDORE METALICOS","PRUEBA_D_DU_RM_CL_113"
2766,"RECOLECCION DOMICILIARIA POR CONTENEDORES METALICOS","PRUEBA_D_DU_RM_CL_101"
2767,"RECOLECCION DOMILICIARIA POR CONTENEDORES METALICOS","PRUEBA_D_DU_RM_CL_103"
2768,"RECOLECCION DOMILICIARIA POR CONTENEDORES METALICOS","PRUEBA_D_DU_RM_CL_118"
2769,"RECOLECCION DOMICILIARIA POR CONTENEDORES METALICOS","PRUEBA_D_DU_RM_CL_111"
2770,"RECOLECCION DOMICILIARIA POR CONTENEDORES METALICOS","PRUEBA_F_DU_RM_CL_09"
2771,"RECOLECCION  DOMICILIARIA POR CONTENEDOR METALICOS","PRUEBA_F_DU_RM_CL_10"
2772,"RECOLECCION  DOMICILIARIA POR CONTENEDOR METALICOS","PRUEBA_F_DU_RM_CL_11"
2773,"RECOLECCION  DOMICILIARIA POR CONTENEDORES METALICOS","PRUEBA_F_DU_RM_CL_03"
2774,"RECOLECCION  DOMICILIARIA POR CONTENEDORES METALICOS","PRUEBA_F_DU_RM_CL_04"
2775,"RECOLECCIÓN DOMICILIARIA POR CONTENEDORES METÁLICOS","PRUEBA F_DU_RM_CL_07"
2776,"RECOLECCION  DOMICILIARIA POR CONTENEDOR METALICOS","PRUEBA_F_DU_RM_CL_05"
2777,"RECOLECCION  DOMICILIARIA POR CONTENEDORES METALICOS","PRUEBA_F_DU_RM_CL_06"
2778,"RECOLECCION  DOMICILIARIA POR CONTENEDOR METALICOS","PRUEBA_F_DU_RM_CL_08"
2779,"RECOLECCION LATERAL POR CONTENEDORES METALICOS","PRUEBA_F_DU_RM_CL_01"
2780,"RECOLECCION LATERAL POR CONTENEDORES METALICOS","PRUEBA_F_DU_RM_CL_02"
2781,"RECOLECCION LATERAL POR CONTENEDORES METALICOS","PRUEBA_F_DU_RM_CL_12"
2782,"RECOLECCION LATERAL POR CONTENEDORES METALICOS","PRUEBA_F_DU_RM_CL_13"
2783,"RECOLECCIÓN DOMICILIARIA POR CONTENEDORES METÁLICOS","C_DU_RM_CL_101"
2784,"RECOLECCIÓN DOMICILIARIA POR CONTENEDORES METÁLICOS","C_DU_RM_CL_102"
2785,"RECOLECCIÓN DOMICILIARIA POR CONTENEDORES METÁLICOS","C_DU_RM_CL_103"
2786,"RECOLECCIÓN DOMICILIARIA POR CONTENEDORES METÁLICOS","C_DU_RM_CL_104"
2787,"RECOLECCIÓN DOMICILIARIA POR CONTENEDORES METÁLICOS","C_DU_RM_CL_105"
2788,"RECOLECCIÓN DOMICILIARIA POR CONTENEDORES METÁLICOS","C_DU_RM_CL_106"
2789,"RECOLECCIÓN DOMICILIARIA POR CONTENEDORES METÁLICOS","C_DU_RM_CL_107"
2790,"RECOLECCIÓN DOMICILIARIA POR CONTENEDORES METÁLICOS","C_DU_RM_CL_108"
2791,"RECOLECCIÓN DOMICILIARIA POR CONTENEDORES METÁLICOS","C_DU_RM_CL_109"
2792,"RECOLECCIÓN DOMICILIARIA POR CONTENEDORES METÁLICOS","C_DU_RM_CL_111"
2793,"RECOLECCIÓN DOMICILIARIA POR CONTENEDORES METÁLICOS","C_DU_RM_CL_112"
2794,"RECOLECCIÓN DOMICILIARIA POR CONTENEDORES METÁLICOS","C_DU_RM_CL_113"
2795,"RECOLECCIÓN DOMICILIARIA POR CONTENEDORES METÁLICOS","C_DU_RM_CL_114"
2796,"RECOLECCIÓN DOMICILIARIA POR CONTENEDORES METÁLICOS","C_DU_RM_CL_115"
2797,"RECOLECCIÓN DOMICILIARIA POR CONTENEDORES METÁLICOS","C_DU_RM_CL_116"
2798,"RECOLECCIÓN DOMICILIARIA POR CONTENEDORES METÁLICOS","B_DU_RM_CL_101"
2799,"RECOLECCIÓN DOMICILIARIA POR CONTENEDORES METÁLICOS","B_DU_RM_CL_102"
2800,"RECOLECCIÓN DOMICILIARIA POR CONTENEDORES METÁLICOS","C_DU_RM_CL_110"
2801,"RECOLECCIÓN DOMICILIARIA POR CONTENEDORES METÁLICOS","F_DU_RM_CL_101"
2802,"RECOLECCIÓN DOMICILIARIA POR CONTENEDORES METÁLICOS","F_DU_RM_CL_102"
2803,"RECOLECCIÓN DOMICILIARIA POR CONTENEDORES METÁLICOS","F_DU_RM_CL_103"
2804,"RECOLECCIÓN DOMICILIARIA POR CONTENEDORES METÁLICOS","F_DU_RM_CL_104"
2805,"RECOLECCIÓN DOMICILIARIA POR CONTENEDORES METÁLICOS","F_DU_RM_CL_105"
2806,"RECOLECCIÓN DOMICILIARIA POR CONTENEDORES METÁLICOS","F_DU_RM_CL_106"
2807,"RECOLECCIÓN DOMICILIARIA POR CONTENEDORES METÁLICOS","F_DU_RM_CL_107"
2808,"RECOLECCIÓN DOMICILIARIA POR CONTENEDORES METÁLICOS","F_DU_RM_CL_108"
2809,"RECOLECCIÓN DOMICILIARIA POR CONTENEDORES METÁLICOS","F_DU_RM_CL_109"
2810,"RECOLECCIÓN DOMICILIARIA POR CONTENEDORES METÁLICOS","F_DU_RM_CL_110"
2811,"RECOLECCIÓN DOMICILIARIA POR CONTENEDORES METÁLICOS","F_DU_RM_CL_111"
2812,"RECOLECCIÓN DOMICILIARIA POR CONTENEDORES METÁLICOS","F_DU_RM_CL_112"
2813,"RECOLECCIÓN DOMICILIARIA POR CONTENEDORES METÁLICOS","F_DU_RM_CL_113"
2814,"RECOLECCIÓN DOMICILIARIA POR CONTENEDORES METÁLICOS","F_DU_RM_CL_114"
2815,"RECOLECCIÓN DOMICILIARIA POR CONTENEDORES METÁLICOS","F_DU_RM_CL_115"
2816,"RECOLECCION DOMICILIARIA POR CONTENEDORES METALICOS","F_DU_RM_CL_104"
