"DIA","TIPO_SERVICIO","TRAYECTO","PESO_NETO","CANT_VIAJES"
"01/01/2022",24,1904,14230,1
"01/01/2022",24,1906,16020,1
"01/01/2022",24,1910,14010,1
"01/01/2022",24,1912,0,1
"01/01/2022",24,2786,26640,1
"01/01/2022",24,2787,20840,1
"01/01/2022",24,2788,21620,1
"01/01/2022",24,2789,18110,1
"01/01/2022",24,2790,10950,1
"01/01/2022",24,2791,16320,1
"01/01/2022",24,2800,17990,1
"02/01/2022",24,1907,7720,1
"02/01/2022",24,1908,18090,1
"02/01/2022",24,1909,17550,1
"02/01/2022",24,1911,20450,1
"02/01/2022",24,1913,0,2
"02/01/2022",24,1914,22310,1
"02/01/2022",24,1915,12900,1
"02/01/2022",24,1916,19500,1
"02/01/2022",24,2655,0,2
"02/01/2022",24,2656,0,1
"02/01/2022",24,2658,0,2
"02/01/2022",24,2659,0,1
"02/01/2022",24,2660,0,1
"02/01/2022",24,2674,0,1
"02/01/2022",24,2678,10010,1
"02/01/2022",24,2680,13040,1
"02/01/2022",24,2681,8430,1
"02/01/2022",24,2682,5680,1
"02/01/2022",24,2683,24850,1
"02/01/2022",24,2686,0,1
"02/01/2022",24,2689,18530,1
"02/01/2022",24,2690,13360,2
"02/01/2022",24,2691,13010,1
"02/01/2022",24,2694,12050,1
"02/01/2022",24,2695,0,1
"02/01/2022",24,2697,0,1
"02/01/2022",24,2698,0,1
"02/01/2022",24,2699,0,1
"02/01/2022",24,2701,0,1
"02/01/2022",24,2717,9830,1
"02/01/2022",24,2719,0,1
"02/01/2022",24,2720,0,1
"02/01/2022",24,2721,0,1
"02/01/2022",24,2727,0,1
"02/01/2022",24,2728,0,3
"02/01/2022",24,2783,13080,1
"02/01/2022",24,2785,19620,1
"02/01/2022",24,2792,16220,1
"02/01/2022",24,2793,15250,1
"02/01/2022",24,2795,19990,2
"02/01/2022",24,2797,16420,1
"02/01/2022",24,2798,13410,1
"02/01/2022",24,2799,9610,2
"02/01/2022",60,1981,870,1
"02/01/2022",60,1984,1010,1
"02/01/2022",60,2673,4790,1
"03/01/2022",1,162,5900,1
"03/01/2022",1,1861,3420,1
"03/01/2022",1,2311,5260,1
"03/01/2022",4,1825,12790,1
"03/01/2022",8,2663,990,1
"03/01/2022",8,2664,870,1
"03/01/2022",8,2665,2080,1
"03/01/2022",8,2666,1170,1
"03/01/2022",24,1904,10010,1
"03/01/2022",24,1905,11650,1
"03/01/2022",24,1906,11840,1
"03/01/2022",24,1907,0,1
"03/01/2022",24,1910,15510,2
"03/01/2022",24,2675,0,1
"03/01/2022",24,2676,0,1
"03/01/2022",24,2677,10260,1
"03/01/2022",24,2680,0,1
"03/01/2022",24,2682,12620,1
"03/01/2022",24,2684,46670,2
"03/01/2022",24,2686,0,1
"03/01/2022",24,2687,12030,1
"03/01/2022",24,2688,19500,1
"03/01/2022",24,2692,9900,1
"03/01/2022",24,2693,0,2
"03/01/2022",24,2697,0,1
"03/01/2022",24,2702,0,1
"03/01/2022",24,2705,8480,1
"03/01/2022",24,2706,20510,1
"03/01/2022",24,2707,9380,1
"03/01/2022",24,2710,21860,1
"03/01/2022",24,2711,16110,3
"03/01/2022",24,2712,26720,1
"03/01/2022",24,2715,23990,1
"03/01/2022",24,2716,22930,1
"03/01/2022",24,2718,23340,1
"03/01/2022",24,2720,0,4
"03/01/2022",24,2722,0,1
"03/01/2022",24,2723,0,2
"03/01/2022",24,2724,0,1
"03/01/2022",24,2725,0,1
"03/01/2022",24,2729,21880,1
"03/01/2022",24,2733,26090,1
"03/01/2022",24,2734,9960,1
"03/01/2022",24,2735,25540,1
"03/01/2022",24,2736,13200,1
"03/01/2022",24,2737,3020,1
"03/01/2022",24,2738,13610,1
"03/01/2022",24,2743,0,1
"03/01/2022",24,2747,0,1
"03/01/2022",24,2784,22020,1
"03/01/2022",24,2786,9730,1
"03/01/2022",24,2787,11300,1
"03/01/2022",24,2788,13050,1
"03/01/2022",24,2789,10840,1
"03/01/2022",24,2790,4160,1
"03/01/2022",24,2792,0,1
"03/01/2022",24,2793,0,1
"03/01/2022",24,2794,26660,2
"03/01/2022",24,2796,13860,1
"03/01/2022",24,2798,0,1
"03/01/2022",24,2799,0,1
"03/01/2022",24,2800,2740,2
"03/01/2022",24,2807,9520,1
"03/01/2022",24,2809,20730,1
"03/01/2022",27,2319,0,1
