_id,GID,COD_CIRCUITO,TURNO_HORARIO,X,Y
5152,58142,CH_DU_RM_CL_11      ,"DOMINGOS, MARTES Y JUEVES CON FERIADOS LABORABLES: Nocturno (22 a 06 hrs.)                                                                                                                                                                                                                                    ",579093.3931536467,6138480.467582766
5153,58739,G_DU_RM_CL_06       ,"LUNES, MIERCOLES Y VIERNES CON FERIADOS LABORABLES: Matutino (06 a 14 hrs.)                                                                                                                                                                                                                                   ",571906.4640262661,6147329.6754537225
5154,40534,G_DU_RM_CL_04       ,"DOMINGOS, MARTES Y JUEVES CON FERIADOS LABORABLES: Nocturno (22 a 06 hrs.)                                                                                                                                                                                                                                    ",573333.1421089554,6145103.152105523
5155,43979,G_DU_RM_CL_08       ,"LUNES, MIERCOLES Y VIERNES CON FERIADOS LABORABLES: Matutino (06 a 14 hrs.)                                                                                                                                                                                                                                   ",568431.7742479219,6148942.012878283
5156,50967,G_DU_RM_CL_13       ,"LUNES, MIERCOLES Y VIERNES CON FERIADOS LABORABLES: Vespertino (14 a 22 hrs.)                                                                                                                                                                                                                                 ",570422.178423764,6147767.428256454
5157,51019,F_DU_RM_CL_04       ,"LUNES, MIERCOLES Y VIERNES CON FERIADOS LABORABLES: Matutino (06 a 14 hrs.)                                                                                                                                                                                                                                   ",578399.0989284421,6143376.145731563
5158,51039,C_DU_RM_CL_13       ,"LUNES, MIERCOLES Y VIERNES CON FERIADOS LABORABLES: Nocturno (22 a 06 hrs.)                                                                                                                                                                                                                                   ",576654.7183655043,6140154.52700702
5159,52498,F_DU_RM_CL_05       ,"LUNES, MIERCOLES Y VIERNES CON FERIADOS LABORABLES: Matutino (06 a 14 hrs.)                                                                                                                                                                                                                                   ",579991.7295565051,6143262.797037008
5160,52500,F_DU_RM_CL_06       ,"LUNES, MIERCOLES Y VIERNES CON FERIADOS LABORABLES: Matutino (06 a 14 hrs.)                                                                                                                                                                                                                                   ",581032.1377934028,6143615.589368192
5161,58344,CH_DU_RM_CL_02      ,"DOMINGOS, MARTES Y JUEVES CON FERIADOS LABORABLES: Nocturno (22 a 06 hrs.)                                                                                                                                                                                                                                    ",576901.4300018841,6136115.260960924
5162,60734,F_DU_RM_CL_05       ,"LUNES, MIERCOLES Y VIERNES CON FERIADOS LABORABLES: Matutino (06 a 14 hrs.)                                                                                                                                                                                                                                   ",579980.6176503829,6143457.06761023
5163,53916,CH_DU_RM_CL_13      ,"DOMINGOS, MARTES Y JUEVES CON FERIADOS LABORABLES: Nocturno (22 a 06 hrs.)                                                                                                                                                                                                                                    ",577178.585383482,6139536.388834715
5164,54169,CH_DU_RM_CL_08      ,"DOMINGOS, MARTES Y JUEVES CON FERIADOS LABORABLES: Nocturno (22 a 06 hrs.)                                                                                                                                                                                                                                    ",577635.1735042309,6138368.229109475
5165,54340,CH_DU_RM_CL_13      ,"DOMINGOS, MARTES Y JUEVES CON FERIADOS LABORABLES: Nocturno (22 a 06 hrs.)                                                                                                                                                                                                                                    ",577416.9867727942,6138869.691186574
5166,54630,G_DU_RM_CL_04       ,"DOMINGOS, MARTES Y JUEVES CON FERIADOS LABORABLES: Nocturno (22 a 06 hrs.)                                                                                                                                                                                                                                    ",573639.8441044585,6144798.528286209
